slice,accepted,g_cost,latency_sum,energy_sum
1,True,4.2875,2.0,7.71875
2,True,4.5249999999999995,2.0,8.3125
3,True,4.5375,2.0,8.34375
4,True,4.652000000000001,2.0,8.629999999999999
5,True,4.7945,2.0,8.98625
6,True,5.0040000000000004,2.0,9.51
7,True,5.0515,2.0,9.62875
8,True,5.132000000000001,2.0,9.83
9,True,5.368500000000001,2.0,10.42125
10,True,5.429,2.0,10.5725
11,True,5.6535,2.0,11.13375
12,True,6.673,3.0,12.182500000000001
13,True,6.8205,3.0,12.55125
14,True,6.941000000000001,3.0,12.8525
15,True,7.148500000000001,3.0,13.37125
16,True,7.288,3.0,13.719999999999999
17,True,7.348500000000001,3.0,13.87125
18,True,8.939,4.0,16.3475
19,True,9.1365,4.0,16.841250000000002
20,True,9.362,4.0,17.405
