num_slices,num_vnfs_per_slice,max_accepted_in_scenario,method,total_energy,total_latency,runtime_sec,total_bandwidth,accepted,energy_per_accepted,latency_per_accepted,accepted_round,energy_norm_to_max_accept,gain_energy_norm_vs_worst_%,acceptance_ratio_%,acceptance_gap
4,2,4,ABO,3.91,8.0,1.6948468685150146,160.0,4.0,0.9775,2.0,4.0,3.91,61.5819209039548,100.0,0.0
4,2,4,First Fit,4.285,12.0,0.0009126663208007,160.0,4.0,1.07125,3.0,4.0,4.285,57.89732252517808,100.0,0.0
4,2,4,Best Fit,8.3,16.0,0.0011749267578125,320.0,4.0,2.075,4.0,4.0,8.3,18.447555883075406,100.0,0.0
4,2,4,A*,8.445,4.0,0.0136768817901611,160.0,4.0,2.11125,1.0,4.0,8.445,17.022844509948413,100.0,0.0
4,2,4,Energy-Aware A*,8.935,10.0,0.0395295619964599,400.0,4.0,2.23375,2.5,4.0,8.935,12.20830262834684,100.0,0.0
4,2,4,FABO,10.1775,8.0,1.7270638942718506,160.0,4.0,2.544375,2.0,4.0,10.1775,0.0,100.0,0.0
4,3,4,First Fit,11.485,18.0,0.0012366771697998,460.0,4.0,2.87125,4.5,4.0,11.485,34.6328969834946,100.0,0.0
4,3,4,Best Fit,13.26,18.0,0.0013020038604736,540.0,4.0,3.315,4.5,4.0,13.26,24.530449630051226,100.0,0.0
4,3,4,FABO,15.1575,12.0,6.465591430664063,360.0,4.0,3.789375,3.0,4.0,15.1575,13.730791121229366,100.0,0.0
4,3,4,ABO,15.345,12.0,6.358142375946045,360.0,4.0,3.83625,3.0,4.0,15.345,12.663631189527603,100.0,0.0
4,3,4,A*,15.6825,8.0,0.0708682537078857,360.0,4.0,3.920625,2.0,4.0,15.6825,10.742743312464434,100.0,0.0
4,3,4,Energy-Aware A*,17.57,13.0,0.2347176074981689,610.0,4.0,4.3925,3.25,4.0,17.57,0.0,100.0,0.0
6,2,6,ABO,4.365,12.0,2.5708558559417725,240.0,6.0,0.7275,2.0,6.0,4.365,70.91454272863568,100.0,0.0
6,2,6,First Fit,7.1675,18.0,0.0013253688812255,240.0,6.0,1.1945833333333333,3.0,6.0,7.1675,52.240546393469934,100.0,0.0
6,2,6,A*,9.1675,6.0,0.0204472541809082,240.0,6.0,1.5279166666666668,1.0,6.0,9.1675,38.913876395135766,100.0,0.0
6,2,6,Energy-Aware A*,9.4025,15.0,0.0429582595825195,600.0,6.0,1.5670833333333334,2.5,6.0,9.4025,37.3479926703315,100.0,0.0
6,2,6,Best Fit,11.33,21.0,0.0014536380767822,440.0,6.0,1.8883333333333334,3.5,6.0,11.33,24.504414459436948,100.0,0.0
6,2,6,FABO,15.0075,12.0,2.5862038135528564,240.0,6.0,2.50125,2.0,6.0,15.0075,0.0,100.0,0.0
6,3,6,First Fit,16.377499999999998,28.0,0.001551866531372,730.0,6.0,2.729583333333333,4.666666666666667,6.0,16.377499999999998,32.60288065843622,100.0,0.0
6,3,6,ABO,17.0175,18.0,10.276650190353394,540.0,6.0,2.8362499999999997,3.0,6.0,17.0175,29.969135802469143,100.0,0.0
6,3,6,FABO,18.0175,18.0,8.591209650039673,540.0,6.0,3.0029166666666662,3.0,6.0,18.0175,25.853909465020585,100.0,0.0
6,3,6,A*,19.305,12.0,0.1085541248321533,540.0,6.0,3.2175,2.0,6.0,19.305,20.55555555555556,100.0,0.0
6,3,6,Energy-Aware A*,21.88000000000001,20.0,0.3663251399993896,940.0,6.0,3.6466666666666683,3.3333333333333335,6.0,21.88000000000001,9.958847736625478,100.0,0.0
6,3,6,Best Fit,24.3,27.0,0.0018098354339599,810.0,6.0,4.05,4.5,6.0,24.3,0.0,100.0,0.0
8,2,8,ABO,4.82,16.0,3.369866132736206,320.0,8.0,0.6025,2.0,8.0,4.82,72.5238705999715,100.0,0.0
8,2,8,First Fit,8.05,24.0,0.0017030239105224,320.0,8.0,1.00625,3.0,8.0,8.05,54.11144363688185,100.0,0.0
8,2,8,Energy-Aware A*,9.87,20.0,0.0620210170745849,800.0,8.0,1.23375,2.5,8.0,9.87,43.736639589568185,100.0,0.0
