method,seed,num_slices,num_vnfs_per_slice,accepted,total_energy,total_bandwidth,total_latency,runtime_sec
A*,1,8,2,8,9.23,240.0,8.0,0.07634520530700684
ABO,1,8,2,8,4.615,240.0,16.0,7.06147575378418
FABO,1,8,2,8,17.156875,240.0,16.0,7.089919090270996
Best Fit,1,8,2,8,7.2299999999999995,240.0,8.0,0.028380155563354492
First Fit,1,8,2,8,7.260000000000001,240.0,24.0,0.0039844512939453125
Energy-Aware A*,1,8,2,8,9.23,240.0,8.0,0.2023634910583496
A*,1,8,3,8,20.107499999999998,560.0,16.0,0.37028002738952637
ABO,1,8,3,8,17.0575,560.0,24.0,27.286741495132446
FABO,1,8,3,8,21.987499999999997,560.0,24.0,23.505953311920166
Best Fit,1,8,3,8,12.7325,560.0,16.0,0.03981375694274902
First Fit,1,8,3,8,15.290000000000001,810.0,39.0,0.005273580551147461
Energy-Aware A*,1,8,3,8,20.107499999999998,560.0,16.0,1.1165447235107422
