method,seed,num_slices,num_vnfs_per_slice,slice_id,node_id,cpu_used,cpu_capacity
MILP_Sequential,1,8,2,0,1,2.0,64
MILP_Sequential,1,8,2,0,6,3.0,64
MILP_Sequential,1,8,2,1,1,2.0,64
MILP_Sequential,1,8,2,1,6,3.0,64
MILP_Sequential,1,8,2,2,1,2.0,64
MILP_Sequential,1,8,2,2,6,3.0,64
MILP_Sequential,1,8,2,3,1,2.0,64
MILP_Sequential,1,8,2,3,6,3.0,64
MILP_Sequential,1,8,2,4,1,2.0,64
MILP_Sequential,1,8,2,4,6,3.0,64
MILP_Sequential,1,8,2,5,1,2.0,64
MILP_Sequential,1,8,2,5,6,3.0,64
MILP_Sequential,1,8,2,6,1,2.0,64
MILP_Sequential,1,8,2,6,6,3.0,64
MILP_Sequential,1,8,2,7,1,2.0,64
MILP_Sequential,1,8,2,7,6,3.0,64
MILP_Sequential,1,8,3,0,1,2.0,64
MILP_Sequential,1,8,3,0,2,3.0,16
MILP_Sequential,1,8,3,0,6,4.0,64
MILP_Sequential,1,8,3,1,1,2.0,64
MILP_Sequential,1,8,3,1,2,3.0,16
MILP_Sequential,1,8,3,1,6,4.0,64
MILP_Sequential,1,8,3,2,1,2.0,64
MILP_Sequential,1,8,3,2,2,3.0,16
MILP_Sequential,1,8,3,2,6,4.0,64
MILP_Sequential,1,8,3,3,1,2.0,64
MILP_Sequential,1,8,3,3,2,3.0,16
MILP_Sequential,1,8,3,3,6,4.0,64
MILP_Sequential,1,8,3,4,1,2.0,64
MILP_Sequential,1,8,3,4,2,3.0,16
MILP_Sequential,1,8,3,4,6,4.0,64
MILP_Sequential,1,8,3,5,1,2.0,64
MILP_Sequential,1,8,3,5,6,3.0,64
MILP_Sequential,1,8,3,5,11,4.0,64
MILP_Sequential,1,8,3,6,1,2.0,64
MILP_Sequential,1,8,3,6,6,3.0,64
MILP_Sequential,1,8,3,6,11,4.0,64
MILP_Sequential,1,8,3,7,1,2.0,64
MILP_Sequential,1,8,3,7,6,3.0,64
MILP_Sequential,1,8,3,7,11,4.0,64
