method,num_slices,num_vnfs_per_slice,avg_total_energy,std_total_energy,avg_acceptance_rate,avg_energy_per_accepted_slice,avg_runtime_sec
A*,2,2,5.7225,,1.0,2.86125,0.0321314334869384
ABO,2,2,3.455,,1.0,1.7275,1.8575372695922847
Best Fit,2,2,3.7225,,1.0,1.86125,0.0087122917175292
Energy-Aware A*,2,2,5.7225,,1.0,2.86125,0.0513319969177246
FABO,2,2,6.6825,,1.0,3.34125,1.8067572116851809
First Fit,2,2,3.6425,,1.0,1.82125,0.0012564659118652
MILP_Gurobi,2,2,4.4275,,1.0,2.21375,0.0208387374877929
A*,3,2,8.08375,,1.0,2.6945833333333336,0.0301508903503417
ABO,3,2,3.6825,,1.0,1.2275,3.0474660396575928
Best Fit,3,2,4.08375,,1.0,1.36125,0.0118408203125
Energy-Aware A*,3,2,8.08375,,1.0,2.6945833333333336,0.0731534957885742
FABO,3,2,9.95,,1.0,3.3166666666666664,2.8075857162475586
First Fit,3,2,3.96375,,1.0,1.32125,0.0016913414001464
MILP_Gurobi,3,2,4.64125,,1.0,1.5470833333333334,0.0245807170867919
A*,4,2,8.445,,1.0,2.11125,0.0382275581359863
ABO,4,2,3.91,,1.0,0.9775,3.790757656097412
Best Fit,4,2,4.445,,1.0,1.11125,0.0155258178710937
Energy-Aware A*,4,2,8.445,,1.0,2.11125,0.0975494384765625
FABO,4,2,10.1775,,1.0,2.544375,3.6434435844421382
First Fit,4,2,4.285,,1.0,1.07125,0.0021417140960693
MILP_Gurobi,4,2,4.855,,1.0,1.21375,0.0289564132690429
