type,slice,vnf_src,vnf_dst,node,u,v,path_nodes,path_edges,value
placement,0,vnf0_0,,1.0,,,,,1.0
placement,0,vnf0_1,,6.0,,,,,1.0
placement,1,vnf1_0,,1.0,,,,,1.0
placement,1,vnf1_1,,6.0,,,,,1.0
placement,2,vnf2_0,,1.0,,,,,1.0
placement,2,vnf2_1,,6.0,,,,,1.0
placement,3,vnf3_0,,1.0,,,,,1.0
placement,3,vnf3_1,,6.0,,,,,1.0
flow_edge,0,vnf0_0,vnf0_1,,1.0,2.0,,,40.0
flow_edge,0,vnf0_0,vnf0_1,,2.0,6.0,,,40.0
flow_edge,1,vnf1_0,vnf1_1,,1.0,2.0,,,40.0
flow_edge,1,vnf1_0,vnf1_1,,2.0,6.0,,,40.0
flow_edge,2,vnf2_0,vnf2_1,,1.0,2.0,,,40.0
flow_edge,2,vnf2_0,vnf2_1,,2.0,6.0,,,40.0
flow_edge,3,vnf3_0,vnf3_1,,1.0,2.0,,,40.0
flow_edge,3,vnf3_0,vnf3_1,,2.0,6.0,,,40.0
vl_path,0,vnf0_0,vnf0_1,,,,1->2->6,1-2;2-6,
vl_path,1,vnf1_0,vnf1_1,,,,1->2->6,1-2;2-6,
vl_path,2,vnf2_0,vnf2_1,,,,1->2->6,1-2;2-6,
vl_path,3,vnf3_0,vnf3_1,,,,1->2->6,1-2;2-6,
xi,0,,,,,,,,0.0
xi,1,,,,,,,,0.0
xi,2,,,,,,,,0.0
xi,3,,,,,,,,0.0
