timestamp,num_slices,num_vnfs_per_slice,total_vnfs,seed,method,accepted,total_energy,total_bandwidth,total_latency,runtime_sec
2026-01-07 10:52:51,4,2,8,1,A*,4,8.445,160.0,4.0,0.03810858726501465
2026-01-07 10:52:51,4,2,8,1,ABO,4,3.91,160.0,8.0,3.5726540088653564
2026-01-07 10:52:51,4,2,8,1,FABO,4,10.1775,160.0,8.0,3.5588555335998535
2026-01-07 10:52:51,4,2,8,1,Best Fit,4,4.445,160.0,4.0,0.015038013458251953
2026-01-07 10:52:51,4,2,8,1,First Fit,4,4.285,160.0,12.0,0.0022623538970947266
2026-01-07 10:52:51,4,2,8,1,Energy-Aware A*,4,8.445,160.0,4.0,0.13147902488708496
2026-01-07 10:52:51,4,2,8,1,MILP_Gurobi,4,3.91,40.0,4.0,0.035465240478515625
2026-01-07 10:52:58,8,2,16,1,A*,8,9.89,320.0,8.0,0.07657170295715332
2026-01-07 10:52:58,8,2,16,1,ABO,8,4.82,320.0,16.0,7.302400827407837
2026-01-07 10:52:58,8,2,16,1,FABO,8,17.542499999999997,320.0,16.0,7.3518548011779785
2026-01-07 10:52:58,8,2,16,1,Best Fit,8,7.890000000000001,320.0,8.0,0.029226064682006836
2026-01-07 10:52:58,8,2,16,1,First Fit,8,8.05,320.0,24.0,0.004270792007446289
2026-01-07 10:52:58,8,2,16,1,Energy-Aware A*,8,11.7025,320.0,10.0,0.2607309818267822
2026-01-07 10:52:58,8,2,16,1,MILP_Gurobi,8,4.82,40.0,8.0,0.05241990089416504
2026-01-07 10:53:13,4,3,12,1,A*,4,15.6825,360.0,8.0,0.18987107276916504
2026-01-07 10:53:13,4,3,12,1,ABO,4,15.344999999999999,360.0,12.0,13.982215881347656
2026-01-07 10:53:13,4,3,12,1,FABO,4,15.157499999999999,360.0,12.0,13.441221714019775
2026-01-07 10:53:13,4,3,12,1,Best Fit,4,7.0200000000000005,360.0,8.0,0.02244281768798828
2026-01-07 10:53:13,4,3,12,1,First Fit,4,11.485,460.0,18.0,0.002901315689086914
2026-01-07 10:53:13,4,3,12,1,Energy-Aware A*,4,13.451249999999998,400.0,15.0,0.9227180480957031
2026-01-07 10:53:13,4,3,12,1,MILP_Gurobi,4,7.0600000000000005,90.0,8.0,0.06524801254272461
2026-01-07 10:53:42,8,3,24,1,A*,8,21.596249999999998,720.0,16.0,0.35974574089050293
2026-01-07 10:53:42,8,3,24,1,ABO,8,22.6975,720.0,24.0,25.582030534744263
2026-01-07 10:53:42,8,3,24,1,FABO,8,26.32875,770.0,25.0,21.442413568496704
2026-01-07 10:53:42,8,3,24,1,Best Fit,8,16.264999999999997,720.0,16.0,0.040877580642700195
2026-01-07 10:53:42,8,3,24,1,First Fit,8,22.741250000000004,1030.0,39.0,0.005296468734741211
2026-01-07 10:53:42,8,3,24,1,Energy-Aware A*,8,22.1875,760.0,27.0,1.6459310054779053
2026-01-07 10:53:42,8,3,24,1,MILP_Gurobi,8,11.760000000000002,140.0,24.0,0.6031997203826904
2026-01-07 10:54:31,4,4,16,1,A*,4,24.17875,600.0,12.0,0.7556402683258057
2026-01-07 10:54:31,4,4,16,1,ABO,4,23.015000000000004,600.0,16.0,46.63432264328003
2026-01-07 10:54:31,4,4,16,1,FABO,4,25.082499999999996,600.0,16.0,48.59942936897278
2026-01-07 10:54:31,4,4,16,1,Best Fit,4,14.86,720.0,14.0,0.025564908981323242
2026-01-07 10:54:31,4,4,16,1,First Fit,4,18.415,800.0,24.0,0.0034847259521484375
2026-01-07 10:54:31,4,4,16,1,Energy-Aware A*,4,17.465,760.0,24.0,4.626374959945679
2026-01-07 10:54:31,4,4,16,1,MILP_Gurobi,4,12.760000000000002,270.0,20.0,0.33727097511291504
2026-01-07 10:56:12,8,4,32,1,A*,8,34.95250000000001,1260.0,25.0,1.0595173835754395
2026-01-07 10:56:12,8,4,32,1,ABO,8,37.003750000000004,1280.0,34.0,65.66919565200806
2026-01-07 10:56:12,8,4,32,1,FABO,8,39.633750000000006,1200.0,34.0,66.28560423851013
2026-01-07 10:56:12,8,4,32,1,Best Fit,8,30.584999999999997,1420.0,28.0,0.04252314567565918
2026-01-07 10:56:12,8,4,32,1,First Fit,8,32.8125,1760.0,52.0,0.00663304328918457
2026-01-07 10:56:12,8,4,32,1,Energy-Aware A*,8,31.97375,1480.0,40.0,7.792409420013428
2026-01-07 10:56:12,8,4,32,1,MILP_Gurobi,8,18.695000000000004,240.0,40.0,0.1886749267578125
