timestamp          , method     , num_slices, num_vnfs_per_slice, seed, result_idx, slice, vnf_src, vnf_dst, path_nodes  , path_edges    , num_hops
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,          0,      , vnf0_0 , vnf0_1 , 1->2        , 1-2           ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,          1,      , vnf1_0 , vnf1_1 , 3->4        , 3-4           ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,          2,      , vnf2_0 , vnf2_1 , 5->6        , 5-6           ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,          3,      , vnf3_0 , vnf3_1 , 7->9        , 7-9           ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,          4,      , vnf4_0 , vnf4_1 , 8->11       , 8-11          ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,          5,      , vnf5_0 , vnf5_1 , 10->12      , 10-12         ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,          6,      , vnf6_0 , vnf6_1 , 1->2        , 1-2           ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,          7,      , vnf7_0 , vnf7_1 , 6->5        , 6-5           ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,          8,      , vnf8_0 , vnf8_1 , 11->3       , 11-3          ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,          9,      , vnf9_0 , vnf9_1 , 1->2        , 1-2           ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,         10,      , vnf10_0, vnf10_1, 6->7        , 6-7           ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,         11,      , vnf11_0, vnf11_1, 11->8       , 11-8          ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,         12,      , vnf12_0, vnf12_1, 1->2        , 1-2           ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,         13,      , vnf13_0, vnf13_1, 6->2        , 6-2           ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,         14,      , vnf14_0, vnf14_1, 11->8       , 11-8          ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,         15,      , vnf15_0, vnf15_1, 1->2        , 1-2           ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,         16,      , vnf16_0, vnf16_1, 4->3        , 4-3           ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,         17,      , vnf17_0, vnf17_1, 6->5        , 6-5           ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,         18,      , vnf18_0, vnf18_1, 9->7        , 9-7           ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,         19,      , vnf19_0, vnf19_1, 10->12      , 10-12         ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,         20,      , vnf20_0, vnf20_1, 11->8       , 11-8          ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,         21,      , vnf21_0, vnf21_1, 1->2        , 1-2           ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,         22,      , vnf22_0, vnf22_1, 6->7        , 6-7           ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,         23,      , vnf23_0, vnf23_1, 11->8       , 11-8          ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,         24,      , vnf24_0, vnf24_1, 1->2        , 1-2           ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,         25,      , vnf25_0, vnf25_1, 6->2        , 6-2           ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,         26,      , vnf26_0, vnf26_1, 11->8       , 11-8          ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,         27,      , vnf27_0, vnf27_1, 1->2        , 1-2           ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,         28,      , vnf28_0, vnf28_1, 6->5        , 6-5           ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,         29,      , vnf29_0, vnf29_1, 11->8       , 11-8          ,        1
2026-02-18 09:15:30, FABO       ,         32,                  2,    1,         30,      , vnf30_0, vnf30_1, 1->2        , 1-2           ,        1
