timestamp          , method         , num_slices, num_vnfs_per_slice, seed, result_idx, slice, vnf_src  , vnf_dst, path_nodes               , path_edges                      , num_hops
2026-04-01 14:52:59, A*             ,          4,                  4,    1,          0,      , vnf0_0   , vnf0_1 , 6->2                     , 6-2                             ,        1
2026-04-01 14:52:59, A*             ,          4,                  4,    1,          0,      , vnf0_1   , vnf0_2 , 2->1                     , 2-1                             ,        1
2026-04-01 14:52:59, A*             ,          4,                  4,    1,          0,      , vnf0_2   , vnf0_3 , 1->3                     , 1-3                             ,        1
2026-04-01 14:52:59, A*             ,          4,                  4,    1,          1,      , vnf1_0   , vnf1_1 , 6->5                     , 6-5                             ,        1
2026-04-01 14:52:59, A*             ,          4,                  4,    1,          1,      , vnf1_1   , vnf1_2 , 5->4                     , 5-4                             ,        1
2026-04-01 14:52:59, A*             ,          4,                  4,    1,          1,      , vnf1_2   , vnf1_3 , 4->2                     , 4-2                             ,        1
2026-04-01 14:52:59, A*             ,          4,                  4,    1,          2,      , vnf2_0   , vnf2_1 , 6->7                     , 6-7                             ,        1
2026-04-01 14:52:59, A*             ,          4,                  4,    1,          2,      , vnf2_1   , vnf2_2 , 7->10                    , 7-10                            ,        1
2026-04-01 14:52:59, A*             ,          4,                  4,    1,          2,      , vnf2_2   , vnf2_3 , 10->11                   , 10-11                           ,        1
2026-04-01 14:52:59, A*             ,          4,                  4,    1,          3,      , vnf3_0   , vnf3_1 , 6->5                     , 6-5                             ,        1
2026-04-01 14:52:59, A*             ,          4,                  4,    1,          3,      , vnf3_1   , vnf3_2 , 5->8                     , 5-8                             ,        1
2026-04-01 14:52:59, A*             ,          4,                  4,    1,          3,      , vnf3_2   , vnf3_3 , 8->11                    , 8-11                            ,        1
2026-04-01 14:52:59, ABO            ,          4,                  4,    1,          0,      , ENTRY    , vnf0_0 , 6->7                     , 6-7                             ,        1
2026-04-01 14:52:59, ABO            ,          4,                  4,    1,          0,      , vnf0_0   , vnf0_1 , 7->10                    , 7-10                            ,        1
2026-04-01 14:52:59, ABO            ,          4,                  4,    1,          0,      , vnf0_1   , vnf0_2 , 10->7->9                 , 10-7;7-9                        ,        2
2026-04-01 14:52:59, ABO            ,          4,                  4,    1,          0,      , vnf0_2   , vnf0_3 , 9->8                     , 9-8                             ,        1
2026-04-01 14:52:59, ABO            ,          4,                  4,    1,          1,      , ENTRY    , vnf1_0 , 6->2                     , 6-2                             ,        1
2026-04-01 14:52:59, ABO            ,          4,                  4,    1,          1,      , vnf1_0   , vnf1_1 , 2->4->5                  , 2-4;4-5                         ,        2
2026-04-01 14:52:59, ABO            ,          4,                  4,    1,          1,      , vnf1_1   , vnf1_2 , 5->8                     , 5-8                             ,        1
2026-04-01 14:52:59, ABO            ,          4,                  4,    1,          1,      , vnf1_2   , vnf1_3 , 8->11                    , 8-11                            ,        1
2026-04-01 14:52:59, ABO            ,          4,                  4,    1,          2,      , ENTRY    , vnf2_0 , 6->2                     , 6-2                             ,        1
2026-04-01 14:52:59, ABO            ,          4,                  4,    1,          2,      , vnf2_0   , vnf2_1 , 2->4->5                  , 2-4;4-5                         ,        2
2026-04-01 14:52:59, ABO            ,          4,                  4,    1,          2,      , vnf2_1   , vnf2_2 , 5->8                     , 5-8                             ,        1
2026-04-01 14:52:59, ABO            ,          4,                  4,    1,          2,      , vnf2_2   , vnf2_3 , 8->9                     , 8-9                             ,        1
2026-04-01 14:52:59, ABO            ,          4,                  4,    1,          3,      , ENTRY    , vnf3_0 , 6->2                     , 6-2                             ,        1
2026-04-01 14:52:59, ABO            ,          4,                  4,    1,          3,      , vnf3_0   , vnf3_1 , 2->4->5                  , 2-4;4-5                         ,        2
2026-04-01 14:52:59, ABO            ,          4,                  4,    1,          3,      , vnf3_1   , vnf3_2 , 5->8                     , 5-8                             ,        1
2026-04-01 14:52:59, ABO            ,          4,                  4,    1,          3,      , vnf3_2   , vnf3_3 , 8->11                    , 8-11                            ,        1
2026-04-01 14:52:59, FABO           ,          4,                  4,    1,          0,      , vnf0_0   , vnf0_1 , 6->2                     , 6-2                             ,        1
2026-04-01 14:52:59, FABO           ,          4,                  4,    1,          0,      , vnf0_1   , vnf0_2 , 2->4                     , 2-4                             ,        1
